
 update_frequency, cost_factor, target_number, training_month, lam_1,         lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 buy-and-hold, 25, 6, 0.009918212890625, 0.0, 37.90%,10.32%,9.79%,0.392%,0.270%,0.00%, 1.53e-05
 buy-and-hold, 45, 6, 0.0064373016357421875, 0.0, 39.04%,10.71%,10.92%,0.304%,0.207%,0.00%, 9.26e-06
 buy-and-hold, 65, 6, 0.004166364669799805, 0.0, 35.50%,9.97%,11.56%,0.275%,0.187%,0.00%, 7.55e-06
 buy-and-hold, 85, 6, 0.003376603126525879, 0.0, 40.32%,11.09%,11.61%,0.240%,0.157%,0.00%, 5.78e-06
 annually, 25, 6, 0.10328292846679688, 0.0, 31.72%,9.14%,12.13%,0.397%,0.269%,10.47%, 1.58e-05
 annually, 45, 6, 0.087738037109375, 0.0, 39.78%,11.06%,12.31%,0.294%,0.201%,10.98%, 8.66e-06
 annually, 65, 6, 0.077056884765625, 0.0, 44.70%,12.21%,12.44%,0.255%,0.172%,11.81%, 6.48e-06
 annually, 85, 6, 0.058746337890625, 0.0, 46.08%,12.53%,12.56%,0.232%,0.157%,11.28%, 5.36e-06
 semi-annually, 25, 6, 0.10356903076171875, 0.0, 20.31%,6.30%,12.09%,0.390%,0.263%,32.77%, 1.52e-05
 semi-annually, 45, 6, 0.08697509765625, 0.0, 29.41%,8.59%,12.22%,0.281%,0.194%,33.20%, 7.91e-06
 semi-annually, 65, 6, 0.077056884765625, 0.0, 33.24%,9.54%,12.41%,0.250%,0.170%,36.57%, 6.25e-06
 semi-annually, 85, 6, 0.05855560302734375, 0.0, 34.01%,9.75%,12.57%,0.224%,0.154%,33.66%, 5.04e-06
 quarterly, 25, 6, 0.103759765625, 0.0, 10.30%,3.66%,12.22%,0.378%,0.253%,96.18%, 1.44e-05
 quarterly, 45, 6, 0.090789794921875, 0.0, 21.85%,6.72%,12.33%,0.273%,0.185%,96.63%, 7.45e-06
 quarterly, 65, 6, 0.07925033569335938, 0.0, 28.69%,8.45%,12.47%,0.242%,0.165%,112.97%, 5.89e-06
 quarterly, 85, 6, 0.0705718994140625, 0.0, 25.71%,7.73%,12.62%,0.224%,0.156%,107.77%, 5.04e-06
 NA,NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
