
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 buy-and-hold, 0, 45, 6, 0.0064239501953125, 0.0, 39.04%,10.71%,10.92%,0.304%,0.207%,0.00%, 9.26e-06
 annually, 0, 45, 6, 0.08740234375, 0.0, 39.78%,11.06%,12.31%,0.294%,0.201%,10.94%, 8.66e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.0, 28.34%,8.33%,12.24%,0.283%,0.195%,32.66%, 8.04e-06
 quarterly, 0, 45, 6, 0.0908203125, 0.0, 20.96%,6.50%,12.34%,0.273%,0.186%,98.71%, 7.48e-06
 NA, NA, NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
 no_olsbuy-and-hold, 0, 45, 6, 0.0064239501953125, 0.0, 66.64%,18.29%,19.77%,0.713%,0.473%,0.00%, 5.09e-05
 no_olsannually, 0, 45, 6, 0.08740234375, 0.0, 54.27%,16.51%,23.10%,0.895%,0.627%,10.94%, 8.01e-05
 no_olssemi-annually, 0, 45, 6, 0.0869140625, 0.0, 44.24%,14.41%,23.68%,0.935%,0.651%,32.66%, 8.75e-05
 no_olsquarterly, 0, 45, 6, 0.0908203125, 0.0, 37.84%,12.85%,23.45%,0.921%,0.656%,98.71%, 8.48e-05
 no_olsNA, NA, NA, NA, NA, NA, 39.14%,11.01%,12.99%,0.000%,0.000%,0.00%, 0.00e+00
 update_frequency, cost_factor, target_number, training_month, lam_1, lam_2, c_r,a_r,a_v,d_te,d_tev,m_tr,mse
 buy-and-hold, 0, 45, 6, 0.0064239501953125, 0.0, 39.04%,10.71%,10.92%,0.304%,0.207%,0.00%, 9.26e-06
 annually, 0, 45, 6, 0.08740234375, 0.0, 39.78%,11.06%,12.31%,0.294%,0.201%,10.94%, 8.66e-06
 semi-annually, 0, 45, 6, 0.0869140625, 0.0, 28.34%,8.33%,12.24%,0.283%,0.195%,32.66%, 8.04e-06
 quarterly, 0, 45, 6, 0.0908203125, 0.0, 20.96%,6.50%,12.34%,0.273%,0.186%,98.71%, 7.48e-06
 buy-and-hold, 0, 45, 6, 0.0108642578125, 0.1, 39.36%,10.76%,10.70%,0.317%,0.218%,0.00%, 1.00e-05
 annually, 0, 45, 6, 0.10211181640625, 0.1, 36.41%,10.30%,12.45%,0.349%,0.240%,9.40%, 1.22e-05
 semi-annually, 0, 45, 6, 0.1019439697265625, 0.1, 23.26%,7.08%,12.30%,0.331%,0.228%,27.89%, 1.10e-05
 quarterly, 0, 45, 6, 0.102783203125, 0.1, 17.89%,5.70%,12.33%,0.320%,0.216%,79.66%, 1.03e-05
 buy-and-hold, 0, 45, 6, 0.01171875, 0.2, 38.01%,10.46%,10.77%,0.326%,0.224%,0.00%, 1.07e-05
 annually, 0, 45, 6, 0.108642578125, 0.2, 31.79%,9.21%,12.52%,0.357%,0.247%,9.08%, 1.28e-05
 semi-annually, 0, 45, 6, 0.10888671875, 0.2, 20.51%,6.39%,12.42%,0.342%,0.236%,27.20%, 1.18e-05
